datetime,temperature,wind,humidity
12/04/2022 7:15 pm,31.5,5,71
12/04/2022 8:15 pm,31.6,8,61
12/04/2022 9:15 pm,31.5,5,61
12/04/2022 10:15 pm,30.7,6,64
12/04/2022 11:15 pm,30.6,3,66
12/05/2022 12:15 am,30.2,6,68
12/05/2022 1:15 am,29.3,2,73
12/05/2022 2:15 am,28.9,4,75
12/05/2022 3:15 am,28.4,5,76
12/05/2022 4:15 am,28.2,4,77
12/05/2022 5:15 am,28,5,76
12/05/2022 6:15 am,27.9,8,76
12/05/2022 7:15 am,28.2,7,74
12/05/2022 8:15 am,27.9,4,75
12/05/2022 9:15 am,29.3,6,73
12/05/2022 10:15 am,33.1,6,67
12/05/2022 11:15 am,34.7,6,66
12/05/2022 12:15 pm,36.9,7,62
12/05/2022 1:15 pm,38.7,6,60
12/05/2022 2:15 pm,39.9,6,59
12/05/2022 3:15 pm,40.8,4,58
12/05/2022 4:15 pm,39.6,2,59
12/05/2022 5:15 pm,39.4,5,61
12/05/2022 6:15 pm,38.3,4,64
12/05/2022 7:15 pm,38.1,1,65
12/05/2022 8:15 pm,37.9,0,65
12/05/2022 9:15 pm,37.6,2,66
12/05/2022 10:15 pm,37.6,1,65
12/05/2022 11:15 pm,37.8,2,67
12/06/2022 12:15 am,37.6,4,71
12/06/2022 1:15 am,36.5,0,82
12/06/2022 2:15 am,36.5,0,83
12/06/2022 3:15 am,36.3,1,85
12/06/2022 4:15 am,36.3,0,86
12/06/2022 5:15 am,36.3,0,88
12/06/2022 6:15 am,36,0,90
12/06/2022 7:15 am,35.8,0,91
12/06/2022 8:15 am,36.1,2,92
12/06/2022 9:15 am,36.9,0,91
12/06/2022 10:15 am,38.7,1,88
12/06/2022 11:15 am,39.7,2,83
12/06/2022 12:15 pm,40.5,2,81
12/06/2022 1:15 pm,41.2,4,78
12/06/2022 2:15 pm,42.4,4,78
12/06/2022 3:15 pm,42.3,0,77
12/06/2022 4:15 pm,41.4,2,79
12/06/2022 5:15 pm,40.5,2,79
12/06/2022 6:15 pm,39.9,1,78
12/06/2022 7:15 pm,39.6,5,80
12/06/2022 8:15 pm,39,6,83
12/06/2022 9:15 pm,39.4,2,84
12/06/2022 10:15 pm,38.8,0,86
12/06/2022 11:15 pm,37.8,2,89
12/07/2022 12:15 am,37.6,2,90
12/07/2022 1:15 am,37.9,1,91
12/07/2022 2:15 am,37.4,1,91
12/07/2022 3:15 am,37.2,1,92
12/07/2022 4:15 am,35.6,0,92
12/07/2022 5:15 am,34.2,0,94
12/07/2022 6:15 am,33.6,0,96
12/07/2022 7:15 am,33.3,1,97
12/07/2022 8:15 am,32.4,0,97
12/07/2022 9:15 am,36.7,1,98
12/07/2022 10:15 am,39.9,2,90
12/07/2022 11:15 am,45,2,78
12/07/2022 12:15 pm,43.5,2,79
12/07/2022 1:15 pm,44.2,3,78
12/07/2022 2:15 pm,44.2,2,79
12/07/2022 3:15 pm,43.3,1,80
12/07/2022 4:15 pm,43.2,4,81
12/07/2022 5:15 pm,42.1,3,86
12/07/2022 6:15 pm,40.6,4,90
12/07/2022 7:15 pm,38.8,8,93
12/07/2022 8:15 pm,37.9,3,93
12/07/2022 9:15 pm,37.6,1,91
12/07/2022 10:15 pm,37.4,3,90
