"DATE&TIME","TEMP","HTEMP","LTEMP","PRESS","HUMID","WIND","GUST","RAIN"
"12/01/2022 5:15 pm",33.4,36.5,26.2,30.4,67,3,12,0
"12/01/2022 6:15 pm",32.2,36.5,26.2,30.42,69,2,12,0
"12/01/2022 7:15 pm",31.1,36.5,26.2,30.37,69,6,12,0
"12/01/2022 8:15 pm",30.7,36.5,26.2,30.36,69,6,12,0
"12/01/2022 9:15 pm",31.1,36.5,26.2,30.34,66,7,12,0
"12/01/2022 10:15 pm",31.3,36.5,26.2,30.33,64,7,12,0
"12/01/2022 11:15 pm",31.5,36.5,26.2,30.3,63,7,12,0
"12/02/2022 12:15 am",32,32,32,30.29,63,5,5,0
"12/02/2022 1:15 am",32.9,32.9,32,30.26,60,7,11,0
"12/02/2022 2:15 am",33.4,33.4,32,30.24,57,6,11,0
"12/02/2022 3:15 am",33.8,33.8,32,30.23,57,3,11,0
"12/02/2022 4:15 am",34.7,34.7,32,30.2,55,5,11,0
"12/02/2022 5:15 am",34.9,35.1,32,30.17,56,4,11,0
"12/02/2022 6:15 am",35.4,35.4,32,30.14,56,5,11,0
"12/02/2022 7:15 am",36.9,36.9,32,30.13,51,5,11,0
